keyword,frequency
the,346
to,189
of,150
and,137
a,129
in,108
that,70
us,67
china,62
is,61
as,55
trade,54
on,52
with,49
chinese,48
it,37
for,36
war,34
has,31
are,31
not,28
have,28
its,27
from,25
trump,24
would,22
tariffs,22
by,21
this,21
at,21
be,20
which,19
an,19
up,18
said,18
beijing,18
more,16
will,16
against,16
china¡¯s,15
also,15
president,15
they,14
about,14
but,14
american,14
global,14
last,13
was,13
been,12
new,12
if,12
he,12
while,11
see,11
i,11
economic,11
deal,11
all,10
so,10
foreign,10
other,10
political,10
administration,10
billion,9
out,9
state,9
could,9
economy,9
can,9
his,9
one,9
times,9
pence,9
we,9
united,9
people,8
year,8
going,8
how,8
than,8
who,8
had,8
most,8
agreement,8
canada,8
or,8
over,8
enemy,8
soviet,8
america,8
my,7
goods,7
link,7
stock,7
their,7
long,7
mexico,7
world,7
countries,7
even,7
between,7
two,7
do,7
russia,7
america¡¯s,7
russian,7
cold,7
first,6
no,6
willing,6
far,6
week,6
time,6
because,6
wrote,6
now,6
including,6
then,6
japan,6
should,6
make,6
beijing¡¯s,6
itself,6
any,6
mike,6
pompeo,6
there,6
per,6
cent,6
just,6
union,6
part,6
cosmopolitan,6
nationalist,6
might,5
become,5
common,5
monday,5
after,5
central,5
many,5
when,5
recent,5
pressure,5
free,5
some,5
domestic,5
market,5
talks,5
another,5
europe,5
further,5
minister,5
zhong,5
into,5
donald,5
change,5
contain,5
such,5
conflict,5
midterm,5
elections,5
states,5
much,5
efforts,5
party-state,5
conservatives,5
putin,5
speech,5
public,4
both,4
put,4
imports,4
show,4
good,4
next,4
point,4
worrying,4
user,4
himself,4
asked,4
why,4
better,4
month,4
difficult,4
want,4
wants,4
each,4
policies,4
back,4
demands,4
know,4
yet,4
line,4
whether,4
advantage,4
secretary,4
were,4
tariff,4
technology,4
took,4
country,4
business,4
trump¡¯s,4
take,4
european,4
those,4
talking,4
strategy,4
summit,4
early,4
question,4
western,4
freedom,4
different,4
rising,4
salam,4
act,4
our,4
huntington,4
threat,4
liberals,4
democracies,4
power,4
commitment,4
cannot,4
life,3
what,3
9,3
increasing,3
same,3
national,3
always,3
through,3
greater,3
state-run,3
10,3
there¡¯s,3
doesn¡¯t,3
go,3
growth,3
tumble,3
day,3
requirement,3
seen,3
markets,3
weibo,3
officials,3
worried,3
need,3
it¡¯s,3
oil,3
nuts,3
top,3
based,3
him,3
may,3
manufacturing,3
fact,3
front,3
argument,3
americans,3
wars,3
end,3
september,3
nafta,3
instead,3
so-called,3
down,3
commerce,3
exports,3
stance,3
history,3
nation,3
tensions,3
taken,3
exchange,3
wang,3
told,3
must,3
intellectual,3
rights,3
25,3
transfer,3
side,3
companies,3
accusations,3
attempting,3
2018,3
warned,3
anytime,3
south,3
"""we",3
likely,3
finance,3
international,3
chief,3
still,3
clear,3
approach,3
address,3
campaign,3
potential,3
made,3
soon,3
government,3
relationship,3
pain,3
place,3
consequences,3
vice,3
seeking,3
influence,3
outcome,3
election,3
democratic,3
themselves,3
world¡¯s,3
powers,3
orienting,3
grand,3
creedal,3
identity,3
did,3
among,3
defines,3
serves,3
open,3
liberalism,3
toward,3
especially,3
editorial,3
hudson,3
institute,3
thucydides,3
utterly,2
messed,2
think,2
warthe,2
2018china¡¯s,2
win,2
support,2
sides,2
done,2
worth,2
keep,2
strongest,2
spirit,2
according,2
run,2
interest,2
opinion,2
daily,2
deeply,2
home,2
without,2
comment,2
acknowledge,2
added,2
half,2
off,2
online,2
what¡¯s,2
yuan,2
fell,2
index,2
paywall,2
three,2
bank,2
move,2
trying,2
boost,2
haven¡¯t,2
me,2
projects,2
media,2
working,2
firm,2
work,2
answer,2
help,2
making,2
currency,2
hundreds,2
thousands,2
hard,2
like,2
great,2
prices,2
suddenly,2
expensive,2
ran,2
province,2
she,2
found,2
every,2
cost,2
owner,2
overseas,2
feel,2
environment,2
come,2
real,2
won¡¯t,2
before,2
can¡¯t,2
businesses,2
hit,2
firms,2
50,2
response,2
elements,2
key,2
infrastructure,2
signs,2
terms,2
organization,2
build,2
non-market-oriented,2
needs,2
knows,2
give,2
say,2
building,2
anti-china,2
round,2
gave,2
am,2
highly,2
suggest,2
major,2
current,2
elites,2
keeps,2
never,2
rise,2
break,2
resolve,2
following,2
white,2
tradethe,2
strong,2
whose,2
consumers,2
best,2
testy,2
hurt,2
mutual,2
stop,2
actions,2
fundamental,2
washington,2
de-escalate,2
punitive,2
property,2
role,2
state-owned,2
imposed,2
us$50,2
products,2
set,2
1,2
does,2
threatened,2
yi,2
left,2
technologies,2
reiterated,2
progress,2
opening,2
beyond,2
argued,2
relations,2
gone,2
interfere,2
using,2
undermine,2
playbook,2
indonesia,2
¡ª,2
given,2
hold,2
korea,2
effects,2
impose,2
threaten,2
"china""",2
senior,2
fellow,2
damage,2
protracted,2
stakes,2
deals,2
reach,2
again,2
coalition,2
paris,2
climate,2
reference,2
allies,2
economies,2
weakened,2
rush,2
mean,2
them,2
looms,2
ways,2
others,2
remarks,2
concerns,2
relies,2
less,2
china's,2
already,2
robert,2
you,2
xi,2
jinping,2
leaders,2
policy,2
appear,2
capital,2
defining,2
wide-ranging,2
hostility,2
regimes,2
around,2
emphasis,2
outside,2
shift,2
administration¡¯s,2
politics,2
criticism,2
university,2
desperate,2
students,2
law,2
turn,2
way,2
upcoming,2
challenge,2
meddling,2
observers,2
idea,2
russia¡¯s,2
seems,2
observed,2
very,2
large,2
numbers,2
legitimacy,2
once,2
collapse,2
defined,2
days,2
british,2
under,2
years,2
society,2
often,2
cohesion,2
find,2
divided,2
whom,2
order,2
supposed,2
interests,2
